,sentence
609,"Pada 2023, KONEKSI memberikan dukungan kepada riset ini untuk memberdayakan masyarakat dalam mengoperasikan fasilitas pengelolaan limbah berbasis ekonomi sirkular atau yang disebut Tempat Pengelolaan Sampah Reuse-Reduce-Recycle (TPS3R)."
610,Salah satu dukungan yang diberikan mencakup pelatihan operator dan kampanye kepada masyarakat untuk sekitar 400 keluarga tentang masalah limbah dan kebutuhan untuk mengubah perilaku dalam pengelolaan limbah.
611,Dukungan lainnya yakn peningkatan kapasitas masyarakat dalam memanfaatkan daur ulang limbah dan menyusun strategi dalam menemukan pasar.
612,Kepala Dinas Perumahan dan Permukiman Provinsi Jawa Barat Indra Maha mengapresiasi upaya semua pihak yang terlibat dalam menjaga kelestarian Sungai Citarum.
613,"""Kita tidak boleh mewariskan Citarum sebagai sungai yang kotor dan tidak manusiawi kepada generasi mendatang."
614,"Sebaliknya, kita harus mewujudkan Citarum yang paripurna, sungai yang memberikan kehidupan bagi semua,"" tutur Indra."
615,"Proyek CARP juga menerapkan pendekatan kolaboratif dan inklusif berbasis masyarakat dengan membangun ""laboratorium hidup""."
616,"Laboratorium hidup merupakan percontohan berbasis desa untuk mendidik, melatih, dan membangun kapasitas dalam praktik pengelolaan limbah berkelanjutan."
617,"Salah satu peneliti riset dari Universitas Indonesia, Reni Suwarso, menyampaikan penelitian tersebut memiliki potensi besar untuk mengubah pengelolaan limbah di Indonesia."
618,"""Dengan dukungan penuh dari pemerintah di semua tingkatan, kita dapat mewujudkan impian menerapkan model ini secara nasional dan menciptakan Indonesia yang lebih bersih dan berkelanjutan, tutur Reni."
619,Penggunaan Maggot untuk Olah Sampah Organik Jadi Peluang Ekonomi Baru
620,"Subholding PLN Energi Primer Indonesia (PLN EPI) bersama PT Pelayaran Bahtera Adhiguna (BAg) melaksanakan program tanggung jawab sosial dan lingkungan (TJSL) yang berfokus pada pengelolaan sampah organik melalui pemanfaatan maggot Black Soldier Fly (BSF) di Desa Karangasem, Kecamatan Ponjong, Gunungkidul, Yogyakarta."
621,Program ini diluncurkan pada 13 November 2024 dan bertujuan untuk meningkatkan kesadaran warga terhadap pentingnya pemilahan sampah serta menciptakan peluang ekonomi baru.
622,"Sekretaris Perusahaan PLN EPI, Mamit Setiawan menjelaskan, program kolaborasi ini diharapkan dapat memberi manfaat jangka panjang bagi masyarakat, dengan mengajarkan pengelolaan sampah secara mandiri yang menghasilkan nilai tambah."
623,“Kami berkomitmen untuk menjaga keberlanjutan program ini agar dapat diterapkan secara konsisten dan berkembang di desa-desa lain.
624,"Kami ingin memastikan bahwa warga Desa Karangasem memiliki keterampilan untuk mengelola sampah secara mandiri dan mendapatkan manfaat ekonomis,” ujar Mamit melalui keterangan pers, Senin (18/11/2024)."
625,"Ia membeberkan, proses pengelolaan sampah organik dilakukan dengan melibatkan komunitas lokal, Bank Sampah Ngupadi Rejeki, yang mengumpulkan sampah organik rumah tangga untuk kemudian dijadikan pakan bagi budidaya maggot BSF."
626,"Maggot BSF dinilai mampu mengurai sampah organik lebih cepat, tanpa bau, dan menghasilkan kompos serta larva yang dapat dijadikan pakan ternak, seperti untuk unggas dan ikan."
627,“Proses biokonversi yang dilakukan oleh maggot sangat aman dan efisien.
628,"Selain mengurangi volume sampah, proses ini menghasilkan produk yang dapat memberi nilai tambah ekonomis bagi masyarakat,” tambah Mamit."
629,Program ini juga bertujuan untuk mengurangi jumlah sampah organik yang dihasilkan oleh rumah tangga di Desa Karangasem.
630,"Dengan target pengurangan sampah sebanyak 2-3 ton per bulan, program ini diharapkan dapat mengurangi biaya pengelolaan sampah di tingkat desa dan memberi pendapatan tambahan bagi warga melalui penjualan produk maggot dan turunannya."
631,"Kepala Bebadan Pangreksaloka Keraton Ngayogyakarta Hadiningrat, RM Gusthilantika Marrel Suryokusumo, mengapresiasi program ini sebagai langkah positif yang dapat dicontoh oleh desa lain."
632,"“Program ini adalah langkah yang sangat baik, dan kami berharap dapat berkembang lebih luas."
633,"Keberlanjutan program ini akan memberikan dampak positif, tidak hanya untuk Desa Karangasem, tetapi juga bagi desa-desa lainnya yang ingin mengimplementasikan pengelolaan sampah secara berkelanjutan,” ungkap Marrel."
634,"Menteri PPN Sebut Makan Bergizi Gratis Bisa Kerek Pertumbuhan Ekonomi 0,1 Persen"
635,Kementerian Perencanaan Pembangunan Nasional/ Badan Perencanaan Pembangunan Nasional (PPN/Bappenas) menyatakan program makan bergizi gratis (MBG) bakal berdampak positif terhadap perekonomian.
636,"Menteri PPN/Kepala Bappenas Rachmat Pambudy mengatakan, program makan bergizi gratis dapat mendorong produktivitas, menciptakan lapangan kerja, meningkatkan pendapatan petani, dan meningkatkan daya beli masyarakat."
637,"""Diperkirakan pertambahan pertumbuhan ekonomi, paling sedikit 0,1% bisa dicapai melalui program ini."
638,"Dan menurut perhitungan awal, tidak hanya 0,1 tapi bisa ditingkatkan lagi,"" ujarnya dalam acara Core Economic Outlook 2025 di Taman Ismail Marzuki, Jakarta, Sabtu (23/11/2024)."
639,"Firda JANATI Menu makan bergizi gratis (MBG) yang dibagikan Wakil Presiden Gibran Rakabuming Raka di Sekolah Dasar Negeri (SDN) Menteng 03, Jakarta Pusat, Selasa (22/10/2024).Menurut Rachmat, program makan bergizi gratis merupakan investasi untuk pengembangan sumber daya manusia (SDM)."
640,"Sebab, program ini membantu pemenuhan gizi bagi ibu hamil, balita, dan anak sehingga akan meningkatkan kualitas SDM Indonesia."
641,"""Program ini menjadi langkah strategis untuk mengatasi kekurangan nutrisi,"" kata dia."
642,"Ia menuturkan, program yang dicanangkan Presiden Prabowo Subianto ini pun bakal menyasar ibu hamil, balita, serta siswa dari tingkat SD hingga SMA, termasuk santri di pesantren."
643,Program makan bergizi gratis ini direncanakan mulai pada 2025 dengan menyasar 17 juta penerima manfaat.
644,"Anggaran yang disiapkan pemerintah untuk program ini mencapai Rp 51,53 triliun."
645,"Maka dari itu, program makan bergizi gratis ini diyakini bakal memberikan dampak positif dari sisi ekonomi maupun pengembangan kualitas SDM."
646,"Mandiri Sekuritas Prediksi Pertumbuhan Ekonomi Indonesia 5,1 Persen pada 2025"
647,"PT Mandiri Sekuritas memproyeksikan memproyeksikan pertumbuhan ekonomi atau Produk Domestik Bruto (PDB) yang stabil pada kisaran 5,1% pada 2025."
648,"Pertumbuhan ekonomi Indonesia tersebut didukung oleh membaiknya permintaan domestik atau konsumsi rumah tangga, kinerja ekspor yang terpengaruh perlambatan ekonomi global, dan potensi tarif impor Amerika Serikat (AS) yang lebih tinggi untuk barang-barang dari China dan negara-negara lain."
649,"Chief Economist Mandiri Sekuritas Rangga Cipta mengatakan, pihaknya memproyeksikan konsumsi rumah tangga yang akan kembali pulih."
650,"Dokumen Shutterstock.com Ilustrasi investasi, pertumbuhan ekonomi."
651,"Selain itu, siklus modal yang akan kembali dimulai yang didukung oleh investasi langsung dalam dan luar negeri akan menjadi faktor-faktor utama pendorong pertumbuhan ekonomi Indonesia 2025."
652,"""Sementara inflasi kami proyeksikan rata-rata 2,6% di tahun depan, naik dari 2,3% di 2024 ini."
653,"Kenaikan inflasi tersebut sebagian disebabkan oleh efek yang rendah dari inflasi inti yang lemah dan tarif PPN yang lebih tinggi hingga 12% di 2025,” kata dia dalam keterangan resmi, dikutip Jumat (22/11/2024)."
654,"Ia menambahkan, nilai tukar rupiah pada 2025 diproyeksikan rata-rata Rp 15.700 per dollar AS yang mencerminkan sedikit penguatan dari 2024."
655,"""Terbatasnya ruang apresiasi rupiah mencerminkan dolar AS yang terjaga berkat kekuatan kebijakan Donald Trump yang ke arah inflasi, tetapi tetap protektif baik secara fiskal maupun perdagangan internasional,"" imbuh dia."
656,"Sementara dari sisi pasar saham, Head of Equity Market Analyst and Strategy Mandiri Sekuritas Adrian Joezer mengatakan, di tengah meningkatnya ketidakpastian global dan domestik, pasar saham akan mengalami The Waiting Game, menunggu kondisi lebih pasti."
657,Indeks Harga Saham Gabungan (IHSG) menghadapi tekanan strategi bottom-up dan pada keadaan seperti ini sangat penting bagi investor untuk berfokus pada sektoral saat memasuki 2025.
658,"IHSG Diprediksi Lanjutkan Rebound, Simak Analisis dan Rekomendasi Saham Hari Ini"
659,"Indeks Harga Saham Gabungan (IHSG) diperkirakan akan menguat terbatas pada sesi perdagangan hari ini, Rabu (6/11/2024)."
660,"Pada penutupan bursa kemarin, IHSG ditutup menguat ke level 7.491, atau tumbuh 12,43 poin setara 0,17%."
661,"Direktur Research and Investment Pilarmas Investindo Sekuritas Maximilianus Nico Demus mengatakan, di tengah pemilihan presiden Amerika Serikat (AS) saat ini, Purchasing Managers Index (PMI) Composite menurun dari sebelumnya 54,3 menjadi 54,1."
662,"SHUTTERSTOCK/JIRAPONG MANUSTRONG Ilustrasi saham, pasar saham, transaksi saham."
663,"Sementara, PMI Services juga mengalami penurunan dari sebelumnya 55,3 menjadi 55."
664,"Meskipun penurunan terjadi, tetapi hal itu masih dapat diterima oleh pelaku pasar dan investor."
665,"Dari dalam negeri, Badan Pusat Statistik (BPS) melaporkan pertumbuhan ekonomi Indonesia kuartal III-2024 mencapai 4,95% secara tahunan atau year on year (secara tahunan)."
666,"Pertumbuhan ini melambat bila dibandingkan kuartal sebelumnya yang mencapai 5,05% secara tahunan."
667,"""Berdasarkan analisa teknikal, kami melihat IHSG berpotensi menguat terbatas dengan support dan resistance di level 7.410 sampai 7.560,"" kata dia dalam analisisnya, Rabu (6/11/2024)."
668,"Sementara itu, analis Binaartha Sekuritas Ivan Rosanova menjelaskan, IHSG dapat melanjutkan rebound jangka pendeknya menuju 7.617 apabila menembus di atas level 7.529, yang merupakan resisten terdekat."
669,"Namun demikian, penurunan di bawah 7.412 akan membuka jalan untuk melanjutkan koreksi wave (iv) menuju 7.345 sebagai support klaster Fibonacci."
670,"""Level support IHSG berada di 7.412, 7.345, dan 7.278, sementara level resistennya di 7.529, 7.617, 7.666, dan 7.752."
671,"Berdasarkan indikator, MACD menandakan momentum bearish,"" terang dia."
672,Standardisasi Jadi Pilar Transformasi Ekonomi Berkelanjutan Menuju Indonesia Emas 2045
673,"Dalam upaya mencapai visi Indonesia Emas 2045 dan target pertumbuhan ekonomi sebesar 8%, pemerintah terus mendorong penerapan pembangunan berkelanjutan yang terintegrasi dengan standardisasi."
674,"Badan Standardisasi Nasional (BSN) menegaskan pentingnya standar mutu dalam mendukung transformasi ekonomi menuju keberlanjutan, sesuai dengan Rencana Pembangunan Jangka Panjang Nasional (RPJPN) 2025-2045."
675,"Kepala BSN, Kukuh S."
676,"Achmad, saat membuka Bulan Mutu Nasional (BMN) 2024 dan Indonesia Standard and Conformity Assessment Summit di Jakarta, Rabu (20/11/2024), mengatakan bahwa proses transformasi ekonomi Indonesia menuju ekonomi hijau harus menyeimbangkan aspek ekonomi, sosial, dan lingkungan."
677,"""Hal ini sejalan dengan Sustainable Development Goals (SDGs), Paris Agreement, serta target Net Zero Emissions (NZE) pada 2060,” ujarnya melalui keterangan pers, Rabu (20/11/2024)."
678,"Kukuh menambahkan, tema “Standardisasi untuk Pertumbuhan Ekonomi yang Berkelanjutan” dipilih untuk menggambarkan peran penting standardisasi dalam mendorong kualitas, efisiensi, dan daya saing produk Indonesia di pasar global."
679,"“Melalui penerapan standar, kita dapat memastikan pertumbuhan ekonomi tidak hanya jangka pendek tetapi juga berkelanjutan,” katanya."
680,"Sebagai langkah nyata, pemerintah telah menetapkan lima strategi utama untuk mendukung target NZE."
681,"Strategi tersebut mencakup peningkatan pemanfaatan energi baru terbarukan (EBT), pengurangan energi fosil, penggunaan kendaraan listrik, optimalisasi listrik untuk rumah tangga dan industri, serta penerapan teknologi Carbon Capture and Storage (CCS)."
682,"Hingga Oktober 2024, BSN telah menetapkan 15.432 Standar Nasional Indonesia (SNI), termasuk empat SNI terkait CCS."
683,"Kukuh menyatakan,"
684,"“Standardisasi ini tidak hanya mendukung transformasi ekonomi, tetapi juga memperkuat daya saing nasional dan menciptakan efisiensi sumber daya,” kata Kukuh."
685,"Tahun ini, BMN juga menjadi momentum refleksi atas 10 tahun pemberlakuan Undang-Undang Nomor 20 Tahun 2014 tentang Standardisasi dan Penilaian Kesesuaian."
686,"Selama satu dekade terakhir, standardisasi telah memberikan kontribusi signifikan dalam berbagai sektor, termasuk UMKM."
687,"Hingga Oktober 2024, sebanyak 775.763 pelaku UMKM telah mendapatkan tanda SNI Bina UMK untuk lebih dari 910.181 produk, mendukung keberlanjutan ekonomi masyarakat."
688,"Dalam mendukung program nasional, seperti Makan Siang Bergizi Gratis yang diinisiasi Presiden Prabowo, BSN juga terus membina UMKM dan meningkatkan kesadaran masyarakat terhadap mutu dan keamanan pangan."
689,"“Kolaborasi antar-pemangku kepentingan adalah kunci untuk memperkuat infrastruktur mutu nasional yang dapat menyeimbangkan pertumbuhan ekonomi, kelestarian lingkungan, dan efisiensi sumber daya,” tutup Kukuh."
690,"Rangkaian kegiatan BMN 2024 mencakup Indonesia Standard and Conformity Assessment Summit, SNI Expo, SNI Award, dan berbagai seminar serta lokakarya yang diharapkan menjadi motor penggerak transformasi ekonomi berkelanjutan di Indonesia."
691,Kemendag Targetkan Ekspor Tumbuh 7 hingga 9 Persen untuk Dukung Pertumbuhan Ekonomi 8 Persen
692,Kementerian Perdagangan (Kemendag) menargetkan ekspor Indonesia tumbuh 7 hingga 9% dalam lima tahun pemerintahan Presiden Prabowo Subianto.
693,"Target itu diungkapkan Kepala Badan Kebijakan Perdagangan Kemendag Fajarini Puntodewi saat didapuk sebagai pembicara kunci pada acara Gambir Trade Talk #17 di Hotel Borobudur, Jakarta Pusat, Selasa (19/11/2024)."
694,"“Jadi kami pun di Kementerian Perdagangan melakukan penghitungan, seandainya kita mendukung pertumbuhan perekonomian mencapai 8%, maka (ditetapkan) target ekspor untuk lima tahun berikutnya,” kata Puntodewi."
695,"Tangkapan layar Youtube BKPerdag Kepala Badan Kebijakan Perdagangan Kemendag Fajarini Puntodewi saat didapuk sebagai pembicara kunci pada acara Gambir Trade Talk #17 di Hotel Borobudur, Jakarta Pusat, Selasa (19/11/2024)."
696,"Untuk tahun depan, Kemendag menargetkan pertumbuhan ekspor 7,1% untuk mendukung pertumbuhan ekonomi 5,06%."
697,"Kemudian pada 2026, Kemendag menargetkan pertumbuhan ekspor 7,09% untuk mendukung pertumbuhan ekonomi 5,79%."
698,"Pada 2027, target ekspor naik menjadi 7,89%."
699,"Puncaknya pada 2029, target ekspor naik 9,64% untuk mendukung pertumbuhan ekonomi 8%."
700,"“Jadi (target ekspor) antara 7,1 hingga 9,64%."
701,"Nah ini merupakan satu target yang cukup luar biasa,” kata Fajarini."
702,"Fajarini mengatakan, Kemendag akan memperluas pasar dengan melakukan perundingan perjanjian kerja sama perdagangan bebas."
703,"“Saat ini, Indonesia memiliki 11 perjanjian perdagangan bebas bilateral."
704,"Nah, kalau dilihat dari data statistik, hampir 87% ekspor kita itu berasal dari negara-negara mitra yang memiliki perjanjian perdagangan bebas ini,” ujar dia."
705,"Fajarini menyebutkan, pemerintah akan memperluas perundingan kerja sama perdagangan bebas dengan Uni Eropa, Peru hingga Kanada."
706,Menakar Imbas Kebijakan Trump bagi Ekonomi Indonesia
707,Sekjen Partai Kebangkitan Bangsa (PKB).
708,Anggota Komisi XI DPR-RI.
709,"Kembalinya Donald Trump ke Gedung Putih pada 20 Januari 2025 mendatang, disambut ‘dengan perasaan berbeda’ oleh para pengamat ekonomi Amerika Serikat (AS) dan di luar AS."
710,"Pengamat ekonomi dari kalangan luar AS, menyambut Presiden AS ke-45 itu dengan perasaan was-was."
711,"Mereka khawatir kebijakan “America First” Trump kelak menggoyahkan kondisi perekonomian global, terutama negara-negara berkembang seperti ASEAN."
712,Sementara sejumlah pengamat ekonomi lokal AS cederung melihatnya bahwa kibijakan Trump membawa dampak buruk bagi perekonomian AS.
713,Mereka khawatir langkah Trump akan menyebabkan kerugian besar bagi ekonomi AS.
714,"Lalu, bagaimana para ekonom menafsir rencana Trump untuk menjadikan ’Amerika sebagai yang pertama’?"
715,"Apa dampaknya bagi perekonomian AS, dan bagaimana efeknya bagi pereknomian global, khususnya perekonomian negara Asia, ASEAN, terutama Indonesia?"
716,"Apabila diurai, program ‘Amerika pertama’ yang hendak digalakkan Trump meliputi beberapa hal seperti pemotongan pajak dan insentif penanaman modal asing langsung, (FDI), pengenaan tarif dan defisit perdagangan, Sistem Preferensi Umum (GSP), dan Reorientasi Rantai Pasokan Global serta mengintervensi The Federal Reserve (The Fed)."
717,Pemotongan pajak dan insentif FDI
718,"Selama masa pemerintahan pertama (2017-2021) dan selama masa kampanye untuk masa jabatan keduanya, Trump gemar membahas soal pemotongan pajak."
719,"Meskipun rencananya masih samar, ia berjanji untuk memotong pajak korporasi bagi perusahaan yang membuat produk mereka di AS, dari 21% menjadi 15%."
720,"Ini adalah bagian dari agenda ""Amerika pertama"", dengan salah satu rezim pajak paling kompetitif di dunia yang dirancang untuk mencegah perusahaan AS melakukan outsourcing produksi ke luar negeri dan membujuk investor asing untuk pindah ke AS."
721,"Terkait ini, Lili Yan Ing, Sekretaris Jenderal Asosiasi Ekonomi Internasional (IEA) dan Spesialis Perdagangan di Institut Penelitian Ekonomi untuk ASEAN dan Asia Timur (ERIA) menyatakan, kebijakan pemotongan pajak dan insentif regulasi memang untuk mendorong perusahaan-perusahaan AS berinvestasi di dalam negeri dan bisa membuat arus FDI AS ke ASEAN melemah."
722,"Ia mencatat, pada 2023, PMA langsung AS ke ASEAN berjumlah 74,36 miliar dollar AS, yang mencakup 32,35% dari total arus masuk FDI dan menjadikan AS sebagai sumber PMA terbesar di ASEAN."
723,"Pergeseran ini dapat berdampak signifikan pada industri ASEAN yang bergantung pada kemitraan dengan modal, teknologi, dan keahlian AS, khususnya di bidang keuangan, energi, pertambangan, dan farmasi."
724,Lili Yang Ing tidak menyebut Indonesia secara khusus.
725,"Namun, berdasarkan data BKPM, rata-rata FDI di Indonesia selama dekade menuju tahun 2022 adalah 18,8 miliar dollar AS."
726,"Pada 2023, Indonesia mencatat total FDI sebesar Rp 744 triliun atau setara dengan 47,34 miliar dollar AS."
727,"Kemudian pada kuartal II-2024, realisasi FDI mencapai Rp 217,3 triliun."
728,"Memang, AS adalah investor potensial di Indonesia."
729,"Namun, menurut catatan BKPM, AS berada pada urutan terakhir dari lima negara dengan realisasi investasi terbesar ke Indonesia pada kuartal II-2024, yakni Singapura, China, Hongkong, Korea Selatan, dan Amerika Serikat."
730,"Jadi, kebijakan Trump menahan supaya para investor AS ‘ngetem’ di negara sendiri tak akan berdampak besar bagi Indonesia, karena sumber utama FDI bukan AS lagi."
731,Tarif dan defisit perdagangan
732,Trump mengatakan akan membayar pemotongan pajak dengan mengenakan tarif pada barang-barang asing yang memasuki AS dan telah melontarkan gagasan pungutan 60% hingga 100% pada produk-produk Cina dan pungutan 10% hingga 20% pada barang-barang dari seluruh dunia.
733,Dewan Ekonomi Nasional Dapat Tugas Bantu Selesaikan Hambatan Program Prioritas Prabowo
734,Ketua Dewan Ekonomi Nasional (DEN) Luhut Binsar Pandjaitan mengungkapkan tugas yang diberikan Presiden Prabowo Subianto kepada lembaganya.
735,"Yakni memantau, mengevaluasi dan memberikan rekomendasi penyelesaian hambatan program prioritas nasional."
736,"""Tim ini nantinya juga akan diberikan tugas oleh Presiden untuk memantau, mengevaluasi dan memberikan rekomendasi penyelesaian hambatan program prioritas nasional,"" ujar Luhut dalam unggahan di akun Instagram resminya @luhut.pandjaitan pada Selasa (5/11/2024)."
737,"FIKA NURUL ULYA Wakil Ketua Dewan Ekonomi Nasional (DEN) Mari Elka Pangestu di Istana Kepresidenan Jakarta, Selasa (5/11/2024)."
738,"Luhut pun mengungkapkan, sebelum dilantik pada hari ini, ia bersama Wakil Ketua dan para anggota DEN sudah berdiskusi dan merumuskan saran untuk rekomendasi strategis kebijakan pemerintah."
739,Salah satunya untuk mendukung target pertumbuhan ekonomi 8% yang ditargetkan Presiden Prabowo.
740,"""Kami sudah berdiskusi banyak untuk dapat merumuskan saran dan rekomendasi strategis terhadap penyelarasan kebijakan dan program prioritas di bidang ekonomi sebagai quick wins yang sejalan dengan arahan Presiden untuk mencapai pertumbuhan ekonomi 8%,"" jelas Luhut."
741,"Ia pun menegaskan, meski DEN adalah organisasi yang ramping tetapi diharapkan mampu bekerja maksimal untuk memberi solusi untuk kebijakan ekonomi bangsa."
742,"Luhut juga meyakini, nantinya masukan dari DEN akan disusun berdasarkan data yang terverifikasi dengan proses penelaahan lengkap."
743,"""Dengan perumusan kebijakan yang terukur dan sinergi lintas sektor, kami bertekad mendukung percepatan pertumbuhan ekonomi yang inklusif, berkelanjutan demi kesejahteraan seluruh masyarakat Indonesia,"" tegas Luhut."
744,"Pertumbuhan Ekonomi Indonesia Kuartal III 2024 Capai 4,95 Persen"
745,"Badan Pusat Statistik (BPS) melaporkan pertumbuhan ekonomi Indonesia pada Kuartal III 2024 mencapai 4,95% secara tahunan ."
746,"Tumbuh lebih lambat dibandingkan Kuartal II 2024, tetapi sedikit lebih tinggi dibandingkan Kuartal III 2023."
747,"Plt Kepala BPS Amalia Adininggar Widyasanti mengatakan, angka pertumbuhan ekonomi itu didapat dari produk domestik bruto (PDB) atas dasar harga berlaku (ADHB) sebesar Rp 5.638,9 triliun dan atas dasar harga konstan (ADHK) sebesar Rp 3.279,6 triliun."
748,"""Sehingga pertumbuhan ekonomi Indonesia pada Kuartal III bila dibandingkan dengan Kuartal III 2023 atau secara year on year tumbuh 4,95%,"" kata dia dalam konferensi pers di Kantor Pusat BPS, Jakarta, Selasa (5/11/2024)."
749,Laju pertumbuhan ekonomi pada periode Juli-September 2024 itu melambat dari kuartal sebelumnya.
750,"Tercatat, laju pertumbuhan ekonomi pada Kuartal II 2024 mencapai 5,05% secara secara tahunan."
751,"Namun demikian, pertumbuhan ekonomi pada Kuartal III 2024 lebih tinggi sedikit dibanding periode yang sama pada tahun lalu."
752,"Tercatat, pertumbuhan ekonomi pada Kuartal III 2023 mencapai 4,94% secara tahunan."
753,"Amalia mengungkapkan, pertumbuhan ekonomi Indonesia masih ditopang oleh konsumsi rumah tangga."
754,"Dia melaporkan, konsumsi rumah tangga berkontribusi 2,55% terhadap pertumbuhan ekonomi Kuartal III 2024."
755,"Selain itu, pembentukan modal tetap bruto (PMTB) atau investasi berkontribusi 1,63% terhadap pertumbuhan ekonomi, dan konsumsi pemerintah berkontribusi 0,32%."
756,"Adapun jika dilihat secara kuartal ke kuartal (quarter to quarter/qtq), laju pertumbuhan ekonomi pada Kuartal III 2024 mencapai 1,50%."
757,"Angka ini jauh lebih rendah dibanding Kuartal II 2024, yang tumbuh 3,79%."
758,"""Pertumbuhan ekonomi secara quarter to quarter sejalan dengan pola musiman yang terjadi di tahun-tahun sebelumnya, yaitu pertumbuhan Kuartal III lebih rendah daripada Kuartal I,"" ucapnya."
759,"Menuju Satu Dekade Memberi Manfaat, Pemerintah Terus Dorong KUR untuk Usaha Produktif"
760,"Pemerintahan yang baru memiliki komitmen kuat untuk memprioritaskan sejumlah sektor penting, termasuk ketahanan pangan, penyediaan makanan bergizi gratis, pembangunan perumahan, hilirisasi dan industrialisasi berbasis sumber daya alam (SDA), serta swasembada energi."
761,"Untuk mendukung komitmen tersebut, Kementerian Koordinator Bidang Perekonomian meluncurkan program pembiayaan untuk usaha produktif, yaitu Kredit Usaha Rakyat (KUR)."
762,"Selama hampir 10 tahun berjalan, KUR terus bertransformasi untuk memenuhi kebutuhan sektor-sektor yang beragam, seperti pertanian, peternakan, perikanan, dan usaha kecil lainnya."
763,"KUR telah menjadi mitra yang dapat diandalkan oleh petani, nelayan, peternak, dan pengusaha mikro dalam meningkatkan kapasitas usaha mereka, terutama dalam menghadapi berbagai tantangan ekonomi yang ada."
764,"Deputi Bidang Koordinasi Ekonomi Makro dan Keuangan Kemenko Perekonomian Ferry Irawan menjelaskan bahwa hampir 30% dari total penyaluran KUR diarahkan ke sektor pertanian, khususnya untuk mendukung ketahanan pangan dan infrastruktur terkait."
765,"“Untuk sektor pertanian, KUR bisa digunakan untuk peningkatan produksi, perbaikan infrastruktur pertanian, serta pengembangan tanah pertanian yang lebih produktif,” ujarnya dalam siaran pers yang dikutip dari laman ekon.go.id, Kamis (14/11/2024)."
766,"Pernyataan tersebut disampaikan Ferry dalam acara KUR Meets The Press di Kantor Kemenko Perekonomian, Rabu (13/11/2024)."
767,"Sejak 2015 hingga 31 Oktober 2024, program KUR telah disalurkan sebesar Rp 1.827,2 triliun kepada lebih dari 47 juta debitur."
768,"Pada 2024, total penyaluran KUR telah mencapai Rp 246,58 triliun atau sekitar 88% dari target Rp 280 triliun, yang diberikan kepada 4,27 juta debitur."
769,"Ferry menyampaikan bahwa pemerintah juga telah memberikan subsidi bunga KUR yang besar, mencapai Rp 172,2 triliun, yang berdampak pada keberhasilan penyaluran KUR kepada masyarakat dengan leverage yang mencapai 10,6 kali."
770,"Selain itu, tingkat non performing loan (NPL) pada program KUR berhasil dijaga pada angka 2,19%, yang lebih rendah dibandingkan dengan tingkat NPL pada kredit usaha kecil dan menengah (UMKM) yang mencapai 4,06%."
771,"Acara KUR Meets The Press juga menjadi ajang penting untuk konsolidasi nasional seluruh stakeholder yang terlibat dalam program KUR, termasuk para awak media yang telah berperan besar dalam menyebarluaskan informasi mengenai kebijakan KUR kepada masyarakat."
772,"Pada kegiatan KUR Meets The Press, juga digelar sesi mini talk show yang menghadirkan dua narasumber utama, yakni Asisten Deputi Pasar Modal dan Lembaga Keuangan Kemenko Perekonomian, Gede Edy Prasetya, dan Direktur Bisnis Mikro PT Bank Rakyat Indonesia (Persero) Tbk atau BRI Supari."
773,"Dalam kesempatan tersebut, mereka membahas betapa pentingnya KUR dalam mendukung pertumbuhan UMKM di Indonesia."
774,"Berdasarkan data dari Statistik Perbankan Indonesia periode Agustus 2024, KUR berkontribusi sebesar 33,2% terhadap kredit UMKM dan 6,5% terhadap total kredit perbankan nasional."
775,Bank Mandiri Mantapkan Komitmen Ekonomi Berkelanjutan pada COP 29 di Azerbaijan
776,Bank Mandiri menegaskan komitmennya dalam mendukung agenda perubahan iklim global melalui inovasi di sektor finansial khususnya pembiayaan berkelanjutan.
777,Direktur Utama (Dirut) Bank Mandiri Darmawan Junaidi menyampaikan posisi krusial Indonesia dalam menjaga keseimbangan karbon.
778,"Untuk mencapai visi tersebut, kolaborasi pemangku kepentingan dan penerapan strategi pembiayaan yang inovatif perlu dilakukan."
779,"""Bank Mandiri berkomitmen untuk memimpin dalam inovasi pembiayaan berkelanjutan serta memanfaatkan kekuatan sumber daya alam Indonesia sebagai aset strategis dalam upaya global menjaga stabilitas iklim,"" katanya dalam keterangan tertulis, Kamis (14/11/2024)."
780,"Hal tersebut disampaikan pada sesi bertajuk “CEO Climate Talks: Unlocking Innovative Climate Financing"" dalam acara Conference of the Parties (COP) ke-29 di Baku, Azerbaijan, Senin (11/11/2024)."
781,"Berdasarkan data data Food and Agriculture Organization (FAO) of the United Nations, Indonesia memiliki tiga faktor penting terkait posisi tersebut, yakni lahan gambut terluas di dunia, menjadi negara dengan keanekaragaman hayati terbanyak, dan memiliki hutan tropis ketiga terluas di dunia."
782,"“Indonesia bisa memimpin agenda perubahan iklim bila memanfaatkan potensi nature based solution (NBS),” imbuh Darmawan."
783,"Terdapat tiga aspek utama, lanjut dia, yang harus dibenahi untuk membentuk ekosistem berkelanjutan di Indonesia, yaitu keterbatasan pengetahuan terkait praktik bisnis berkelanjutan dan kesenjangan pembiayaan untuk memperbesar skala proyek berkelanjutan."
784,"“Serta, akses terhadap teknologi yang belum merata di seluruh industri,” lanjutnya."
785,"Sementara itu, Bank Mandiri juga memiliki dua fokus utama dalam penyaluran pembiayaan berkelanjutan tersebut."
