,tokens,ner_tags
2431,"['Tim', 'Inafis', 'Ditreskrimum', 'kemudian', 'tiba', 'di', 'lokasi', 'untuk', 'melakukan', 'olah', 'tempat', 'kejadian', 'perkara', 'TKP', 'setelah', 'kejadian', 'tersebut', 'dilaporkan']","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
277,"['Simplifikasi', 'Perizinan', 'Gaet', 'Investasi', 'Ekonomi', 'Keuangan']","[0, 0, 0, 13, 23, 0]"
988,"['Indonesia', 'diharapkan', 'dapat', 'memanfaatkan', 'kesempatan', 'beasiswa', 'tersebut']","[3, 0, 0, 0, 0, 0, 0]"
1285,"['Pada', 'periode', '2019-2024', 'jumlah', 'nya', 'bertambah', '8,65', 'juta', 'hingga', 'menyentuh', '137,5', 'juta', 'orang']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]"
1894,"['Dalam', 'pertemuan', 'ini', 'Prabowo', 'didampingi', 'Menteri', 'Luar', 'Negeri', 'Sugiono', 'Menteri', 'Investasi', 'Kepala', 'BKPM', 'Rosan', 'Roeslani', 'Wakil', 'Menteri', 'Pendidikan', 'Tinggi', 'Sains', 'dan', 'Teknologi', 'Prof', 'Stella', 'Christie', 'KBRI', 'Washington', 'DC', 'Ida', 'Bagus', 'Made', 'Bimantara', 'dan', 'Sekretariat', 'Kabinet', 'Teddy', 'Indra', 'Wijaya']","[0, 0, 0, 6, 0, 11, 2, 2, 0, 0, 13, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
571,"['Sejumlah', 'istilah', 'dalam', 'bidang', 'ekonomi', 'dan', 'politik', 'kerap', 'muncul', 'dan', 'menjadi', 'pembicaraan', 'masyarakat']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
993,"['Dengan', 'demikian', 'Indonesia', 'mencatat', 'surplus', 'perdagangan', 'terhadap', 'Hongkong', 'sebesar', '120', 'juta', 'dollar', 'AS']","[0, 0, 3, 0, 12, 16, 0, 3, 0, 0, 0, 0, 0]"
585,"['Kandidat-kandidat', 'dalam', 'Pilkada', 'biasanya', 'akan', 'dengan', 'licin', 'membangun', 'citra', 'diri', 'sebagai', 'kandidat', 'rakyat', 'sosok', 'yang', 'baik', 'bijak', 'dan', 'berpihak', 'kepada', 'masyarakat', 'bawah']","[0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2666,"['Eko', 'menjelaskan', 'kenaikan', 'PPN', 'dapat', 'menekan', 'konsumsi', 'rumah', 'tangga', 'yang', 'saat', 'ini', 'posisi', 'nya', 'sudah', 'mengkhawatirkan', 'karena', 'tumbuh', 'di', 'bawah', 'pertumbuhan', 'ekonomi']","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12, 16]"
2795,"['Multi', 'Family', 'Office', 'MFO', '-', 'melayani', 'beberapa', 'keluarga', 'tetapi', 'dengan', 'pendekatan', 'yang', 'serupa']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
1779,"['Berdasarkan', 'data', 'Badan', 'Pusat', 'Statistik', 'BPS', 'pertumbuhan', 'ekonomi', 'selama', 'tahun', '2024', 'dari', 'kuartal', 'I', 'sampai', 'kuartal', 'III', 'sebesar', 'masing-masing', '5,11', '%', '5,05', '%', 'dan', '4,95', '%']","[0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
674,"['Badan', 'Standardisasi', 'Nasional', 'BSN', 'menegaskan', 'penting', 'nya', 'standar', 'mutu', 'dalam', 'mendukung', 'transformasi', 'ekonomi', 'menuju', 'keberlanjutan', 'sesuai', 'dengan', 'Rencana', 'Pembangunan', 'Jangka', 'Panjang', 'Nasional', 'RPJPN', '2025-2045']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
1486,"['Menurut', 'nya', 'sebagian', 'besar', 'dampak', 'yang', 'dihitung', 'terjadi', 'di', 'negara-negara', 'berpendapatan', 'tinggi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
855,"['Trump', 'Terpilih', 'Jadi', 'Presiden', 'AS', 'Bagaimana', 'Dampak', 'nya', 'terhadap', 'Rupiah', 'dan', 'Ekonomi', 'Global']","[6, 0, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
447,"['Angka', 'ini', 'sangat', 'signifikan', 'dibandingkan', 'tanpa', 'moratorium', 'yang', 'cenderung', 'negatif', 'di', 'semua', 'aspek']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2226,"['Padahal', 'jika', 'dikelola', 'dengan', 'baik', 'buah-buahan', 'imperfect', 'dapat', 'menjadi', 'produk', 'bernilai', 'tinggi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
1465,"['Pernyataan', 'pers', 'disampaikan', 'usai', 'Presiden', 'Prabowo', 'bertemu', 'Sekretaris', 'Jenderal', 'Sekjen', 'Perserikatan', 'Bangsa-bangsa', 'PBB', 'Antonio', 'Guterres']","[0, 0, 0, 0, 0, 6, 0, 11, 2, 2, 2, 0, 0, 0, 8]"
2111,"['Saat', 'menutup', 'pidato', 'nya', 'Prabowo', 'mengajak', 'China', 'bekerja', 'bersama', 'merealisasikan', 'kerja', 'sama', 'yang', 'sudah', 'disepakati']","[0, 0, 0, 0, 6, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
2499,"['Ilustrasi', 'penipuan', 'kartu', 'fisik']","[0, 0, 0, 19]"
1505,"['Saat', 'ini', 'OECD', 'memiliki', '38', 'negara', 'anggota', 'yang', 'tersebar', 'dari', 'Amerika', 'Utara', 'Amerika', 'Selatan', 'Eropa', 'hingga', 'Asia', 'Pasifik']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15]"
2496,"['Temuan', 'terbaru', 'dari', 'Fraud', 'Typologies', 'Whitepaper', 'GBG', 'mengungkap', 'peningkatan', 'signifikan', 'dalam', 'aktivitas', 'fraud', 'berupa', 'pencurian', 'identitas', 'fraud', 'sintetis', 'dan', 'serangan', 'social', 'engineering', 'yang', 'semakin', 'canggih']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
294,"['Presiden', 'menargetkan', 'investasi', 'pada', '2024', 'sebesar', 'Rp', '1.650', 'triliun', 'meningkat', 'dari', 'target', 'Rp', '1.400', 'triliun', 'pada', 'tahun', 'sebelumnya']","[0, 0, 13, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
588,"['Akibat', 'nya', 'pemilih', 'sering', 'kali', 'terjebak', 'dalam', 'narasi', 'populis', 'yang', 'memperdaya', 'tanpa', 'menyadari', 'bahwa', 'janji-janji', 'tersebut', 'mungkin', 'tidak', 'memiliki', 'dasar', 'kuat', 'untuk', 'diwujudkan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1259,"['Tantangan', 'logistik', 'dengan', 'kondisi', 'Indonesia', 'sebagai', 'negara', 'kepulauan', 'turut', 'menjadi', 'kendala', 'bagi', 'UMKM', 'ujar', 'Ketua', 'Kumpul', 'Faye', 'Wongso', 'dalam', 'rilis', 'yang', 'diterima', 'Rabu', '13/11/2024']","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
1602,"['Tak', 'hanya', 'itu', 'DEN', 'meminta', 'pemerintah', 'menyiapkan', 'kebijakan', 'langsung', 'yang', 'menyasar', 'masyarakat', 'kelas', 'menengah', 'seperti', 'program-program', 'stimulus']","[0, 0, 0, 6, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2015,"['Perekonomian', 'digital', 'Indonesia', 'dilaporkan', 'akan', 'mencapai', 'gross', 'merchandise', 'value', 'GMV', 'sebesar', '90', 'miliar', 'dollar', 'AS', 'atau', 'sekitar', 'Rp', '1.413', 'triliun', 'kurs', 'Rp', '15.700', 'per', 'dollar', 'AS', 'pada', 'akhir', '2024', 'atau', 'naik', '13', '%', 'dari', '2023']","[0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
2240,"['Stabilitas', 'ketahanan', 'eksternal', 'Indonesia', 'hingga', 'saat', 'ini', 'tetap', 'terjaga', 'di', 'tengah', 'tantangan', 'global']","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
425,"['Warga', 'bisa', 'menjual', 'hasil', 'nya']","[0, 0, 0, 0, 0]"
534,"['Deputi', 'Bidang', 'Promosi', 'Penanaman', 'Modal', 'BKPM', 'Nurul', 'Ichwan', 'menegaskan', 'bahwa', 'ketidaknyamanan', 'investor', 'bisa', 'berdampak', 'serius', 'pada', 'iklim', 'bisnis', 'dan', 'bahkan', 'berpotensi', 'meningkatkan', 'angka', 'pengangguran']","[11, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12]"
1054,"['MK', 'meminta', 'pasal', 'soal', 'pengupahan', 'harus', 'mampu', 'memenuhi', 'kebutuhan', 'hidup', 'pekerja', 'buruh', 'dan', 'keluarga', 'nya', 'secara', 'wajar', 'yang', 'meliputi', 'makanan', 'dan', 'minuman', 'sandang', 'perumahan', 'pendidikan', 'kesehatan', 'rekreasi', 'dan', 'jaminan', 'hari', 'tua']","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2375,"['Gambaran', 'nya', 'kalau', 'bukan', 'Trump', 'yang', 'menang', 'The', 'Fed', 'bisa', 'turunkan', 'Fed', 'rate', 'empat', 'sampai', 'lima', 'kali', 'pada', '2025', 'sekarang', 'dengan', 'Trump', 'menang', 'ya', 'frekuensi', 'nya', 'turun', 'tutur', 'Fithra']","[0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 14, 0, 14, 0, 0, 5, 0, 0, 6, 0, 0, 0, 0, 0, 0, 8]"
2342,"['Kemenangan', 'Trump', 'di', 'Pemilu', 'AS', '2024', 'dan', 'Imbas', 'nya', 'ke', 'Ekonomi', 'Indonesia']","[0, 6, 0, 18, 9, 9, 0, 0, 0, 0, 0, 3]"
1261,"['Hal', 'yang', 'disoroti', 'adalah', 'UMKM', 'saat', 'ini', 'perlu', 'bertransformasi', 'dari', 'sekadar', 'produsen', 'yang', 'mengelola', 'seluruh', 'proses', 'produksi', 'menjadi', 'bagian', 'spesifik', 'dalam', 'rantai', 'pasok', 'yang', 'lebih', 'luas']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,"['Menurut', 'laporan', 'e-Conomy', 'SEA', '2024', 'sektor', 'e-commerce', 'di', 'Indonesia', 'ditaksir', 'memiliki', 'GMV', 'senilai', '65', 'miliar', 'dollar', 'AS', 'atau', 'setara', 'Rp', '1.026', '1', 'triliun', 'pada', '2024', 'naik', '11', '%', 'dari', '2023']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
1613,"['Game', 'changer-nya', 'apa', 'untuk', 'bisa', 'mengatasi', 'stagnasi', 'pertumbuhan', 'ekonomi', 'kita', 'yang', 'cuma', '5', '%an', 'Sudah', 'bertahun-tahun', 'gitu-gitu', 'saja']","[0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 21, 0, 0, 0, 0, 22]"
2052,"['BRI', 'mengadopsi', 'pendekatan', 'komprehensif', 'dalam', 'menilai', 'risiko', 'ESG', 'mulai', 'dari', 'identifikasi', 'sektor', 'berisiko', 'tinggi', 'hingga', 'penerapan', 'standar', 'yang', 'dikeluarkan', 'oleh', 'regulator', 'untuk', 'memitigasi', 'potensi', 'dampak', 'negatif', 'pada', 'lingkungan', 'sosial', 'dan', 'tata', 'kelola', 'perusahaan', 'tambah', 'nya']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1878,"['Upaya', 'pemberantasan', 'membutuhkan', 'kolaborasi', 'lintas', 'lembaga', 'termasuk', 'pemerintah', 'daerah']","[0, 0, 0, 0, 0, 0, 0, 11, 2]"
2512,"['Sementara', '17', 'dari', '20', 'bank', 'memasukkan', 'fasilitasi', 'pasar', 'modal', 'dalam', 'tujuan', 'keuangan', 'berkelanjutan', 'mereka', 'hanya', 'dua', 'bank', 'yang', 'memperluas', 'nya', 'ke', 'target', 'dekarbonisasi', 'mereka']","[0, 14, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0]"
1780,"['Kalau', 'kita', 'melihat', 'pertumbuhan', 'ekonomi', 'secara', 'tahunan', 'mulai', 'dari', 'triwulan', 'pertama', 'hingga', 'triwulan', 'ketiga', 'maka', 'kita', 'melihat', 'pola', 'perlambatan', 'pertumbuhan', 'di', 'tiap', 'triwulan', 'tersebut', 'ujar', 'nya', 'saat', 'dihubungi', 'Selasa', '5/11/2024']","[0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17]"
2306,"['Pasal', 'nya', 'ada', 'putusan', 'Mahkamah', 'Konstitusi', 'MK', 'soal', 'penyesuaian', 'upah', 'saat', 'proses', 'perumusan', 'UMP', '2025', 'berjalan', 'dari', 'daerah', 'ke', 'pusat']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
556,"['Zona-zona', 'yang', 'dirancang', 'mencakup', 'zona', 'Premium', 'Beauty', 'yang', 'menampilkan', 'brand', 'exclusive', 'yang', 'sedang', 'tren', 'alat', 'analisis', 'kulit', 'dan', 'produk', 'yang', 'direkomendasikan', 'oleh', 'dermatologist']","[0, 0, 0, 0, 0, 1, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1795,"['Pada', 'dasar', 'nya', 'mereka', 'masih', 'membutuhkan', 'kehadiran', 'fisik', 'dan', 'sentuhan', 'pribadi', 'ucap', 'Sunarso']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
1313,"['Hilirisasi', 'bakal', 'mengarah', 'pada', 'bahan', 'tambang', 'mineral', 'dan', 'produk-produk', 'pertanian', 'seperti', 'minyak', 'kelapa', 'sawit']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 13, 23, 19]"
2503,"['Era', 'metode', 'verifikasi', 'secara', 'sederhana', 'sudah', 'tak', 'lagi', 'dapat', 'digunakan', 'imbuh', 'Bernardi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
570,"['7', 'Istilah', 'Politik-Ekonomi', 'yang', 'Wajib', 'Tahu', 'Ada', 'Oligarki', 'hingga', 'Inflasi']","[14, 0, 0, 0, 0, 0, 0, 0, 0, 12]"
352,"['Indonesia', 'sendiri', 'menyiapkan', 'dokumen', 'iklim', 'Second', 'Nationally', 'Determined', 'Contribution', 'NDC', 'sesuai', 'dengan', 'kondisi', 'saat', 'ini']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
91,"['Pernyataan', 'ini', 'disampaikan', 'berdasarkan', 'data', 'intelijen', 'ekonomi', 'yang', 'diterima', 'nya']","[0, 0, 0, 0, 0, 0, 19, 0, 0, 0]"
1940,"['SHUTTERSTOCK', 'WULANDARI', 'WULANDARI', 'Gedung', 'BUMN', 'di', 'Jakarta']","[0, 0, 0, 0, 0, 0, 3]"
2369,"['Fithra', 'mengatakan', 'setelah', 'Trump', 'menang', 'diperkirakan', 'The', 'Fed', 'akan', 'punya', 'pertimbangan', 'lain', 'soal', 'kebijakan', 'moneter', 'nya', 'ini']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6]"
1170,"['Tapi', 'kita', 'juga', 'masih', 'pikirkan', 'kira-kira', 'dampak', 'nya', 'akan', 'seperti', 'apa', 'ujar', 'Henry', 'di', 'Jakarta', 'Selasa', '19/11/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 5, 17]"
1316,"['Pertama', 'kerangka', 'tujuan', 'nasional', 'yakni', 'BRI', 'akan', 'rutin', 'melakukan', 'analisis', 'terkait']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1298,"['Dengan', 'bahasa', 'sederhana', 'bisa', 'dikatakan', 'bahwa', 'situasi', 'kelas', 'menengah', 'kita', 'memang', 'serba', 'salah', 'dan', 'serba', 'sulit']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1586,"['Selain', 'itu', 'pemerintah', 'bakal', 'meningkatkan', 'kontribusi', 'ekspor', 'dan', 'investasi', 'sebagai', 'sumber', 'pertumbuhan', 'ekonomi', 'nasional']","[0, 0, 11, 0, 0, 0, 0, 0, 13, 0, 0, 12, 16, 0]"
697,"['Kemudian', 'pada', '2026', 'Kemendag', 'menargetkan', 'pertumbuhan', 'ekspor', '7,09', '%', 'untuk', 'mendukung', 'pertumbuhan', 'ekonomi', '5,79', '%']","[0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 12, 16, 0, 22]"
2344,"['Masa', 'lalu', 'dan', 'masa', 'kini', 'tak', 'pernah', 'benar-benar', 'terputus']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
348,"['Oleh', 'karena', 'itu', 'Vivi', 'menyatakan', 'pemerintah', 'mencanangkan', 'visi', 'Indonesia', 'Emas', '2045', 'untuk', 'menjadi', 'negara', 'maju']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 9]"
1378,"['Sehingga', 'kita', 'juga', 'harus', 'memperhatikan', 'perkembangan', 'kekuatan', 'ekonomi', 'di', 'negara-negara', 'lain', 'ucap', 'Airlangga', 'di', 'Kompleks', 'Istana', 'Kepresidenan', 'Jakarta', 'Pusat', 'Selasa', '5/11/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 7, 7, 7, 7, 5, 17]"
2188,"['Pada', '2012', 'hingga', '2013', 'Chatib', 'Basri', 'menjadi', 'Kepala', 'Badan', 'Koordinasi', 'Penanaman', 'Modal']","[0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 11]"
2002,"['Kredit', 'Perbankan', 'Tumbuh', '10,92', 'Persen', 'pada', 'Oktober', '2024']","[0, 0, 12, 0, 0, 0, 0, 17]"
1137,"['Anak', 'muda', 'saja', 'jamin', 'saya', 'berikan', 'Kartu', 'Zilenial']","[0, 0, 0, 0, 0, 0, 1, 19]"
1576,"['Pede', 'Pertumbuhan', 'Ekonomi', '8', 'Persen', 'Luhut', 'Tercapai', 'secara', 'Bertahap']","[0, 12, 16, 21, 22, 0, 0, 0, 0]"
1701,"['Sementara', 'pemerintahan', 'baru', 'yang', 'dipimpin', 'Presiden', 'Prabowo', 'Subianto', 'menargetkan', 'pertumbuhan', 'ekonomi', 'bisa', 'mencapai', '8', '%', 'secara', 'bertahap', 'hingga', '2029']","[0, 0, 0, 0, 0, 0, 6, 8, 0, 12, 16, 0, 0, 21, 22, 0, 0, 0, 10]"
2655,"['Humas', 'Jasa', 'Raharja', 'PT', 'Jasa', 'Raharja', 'Persero', 'meraih', 'penghargaan', 'Indonesia', 'Best', 'Social', 'Insurance', '2024', 'dalam', 'kategori', 'Social', 'Insurance', 'pada', 'ajang', 'Indonesia', 'Best', 'Insurance', 'Awards', '2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]"
2641,"['Nah', 'ini', 'yang', 'tadi', 'kalau', 'dulu', 'ekosistem', 'nya', 'emas', 'nya', 'belum', 'nyambung']","[0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0]"
2328,"['Debat', 'Kedua', 'Pilkada', 'Salatiga', 'Digelar', 'Selasa', 'Malam', 'Ini', 'Tema', 'soal', 'Ekonomi']","[18, 9, 9, 9, 0, 5, 0, 0, 0, 0, 0]"
453,"['Peneliti', 'Madani', 'Berkelanjutan', 'Sadam', 'Afian', 'Richwanudin', 'berujar', 'moratorium', 'akan', 'mendukung', 'target', 'iklim', 'Indonesia']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
913,"['Mungkin', 'barangkali', 'ada', 'cara', 'yang', 'lain', 'ya', 'kita', 'enggak', 'tahu']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1199,"['Salah', 'satu', 'contoh', 'konkret', 'adalah', 'pesat', 'nya', 'perkembangan', 'industri', 'kendaraan', 'listrik', 'di', 'Indonesia']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
1274,"['Diskusi', 'forum', 'tersebut', 'mendorong', 'berbagai', 'inisiatif', 'untuk', 'mendukung', 'partisipasi', 'perempuan', 'termasuk', 'kemitraan', 'antara', 'Kumpul', 'dan', 'Bank', 'Dunia', 'sebagai', 'knowledge', 'partner', 'untuk', 'mengawasi', 'perkembangan', 'dan', 'mendukung', 'kebijakan', 'yang', 'berpihak', 'pada', 'pengusaha', 'perempuan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1641,"['Pelaku', 'mengaku', 'menjadi', 'tulang', 'punggung', 'keluarga']","[0, 0, 0, 0, 0, 0]"
37,"['Dan', 'memberikan', 'kesempatan', 'kepada', 'perempuan', 'sebagai', 'pelaku', 'UMKM', 'untuk', 'lebih', 'produktif', 'dan', 'memperkuat', 'daya', 'saing', 'nya', 'di', 'pasar', 'papar', 'Arifah']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 8]"
974,"['Pada', 'basis', 'tahunan', 'ekonomi', 'Jepang', 'tumbuh', '0,9', '%', 'mengalahkan', 'estimasi', 'ekspansi', '0,7', '%']","[0, 0, 0, 0, 3, 12, 0, 0, 0, 0, 0, 0, 22]"
2592,"['Pada', 'saat', 'ini', 'sedang', 'kami', 'lakukan', 'evaluasi', 'hasil', 'capaian', 'pembangunan', 'dan', 'dengan', 'basis', 'evaluasi', 'itu', 'kami', 'merencanakan', 'akan', 'melakukan', 'apa', 'yang', 'menjadi', 'visi-misi', 'pemerintahan', 'baru']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
983,"['Dalam', 'pertemuan', 'yang', 'dilakukan', 'di', 'sela-sela', 'APEC', 'Economic', 'Leaders', 'Week', 'AELW', 'itu', 'Budi', 'didampingi', 'oleh', 'Direktur', 'Jenderal', 'Perundingan', 'Perdagangan', 'Internasional', 'Dirjen', 'PPI', 'Kementerian', 'Perdagangan', 'Kemendag', 'Djatmiko', 'Bris', 'Witjaksono']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
1584,"['Anda', 'berhubungan', 'dengan', 'mesin']","[0, 0, 0, 1]"
1724,"['Angka', 'itu', 'masih', 'terbilang', 'rendah', 'jika', 'dibandingkan', 'dengan', 'tax', 'ratio', 'pajak', 'tahun', 'lalu', 'yang', 'mencapai', '10,31', '%']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
2323,"['Kalau', 'kita', 'bandingkan', 'dengan', 'kuartal', 'II', '2024', 'ini', 'tipis', 'sebenarnya', 'melambat', 'nya', 'sangat', 'tipis', 'hanya', '0,02', '%', 'kata', 'dia', 'dalam', 'konferensi', 'pers', 'di', 'Jakarta', 'Selasa', '5/11/2024']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
39,"['Melalui', 'PP', 'tersebut', 'jelas', 'Arifah', 'pemerintah', 'memperkuat', 'komitmen', 'nya', 'untuk', 'menciptakan', 'kesempatan', 'yang', 'lebih', 'adil', 'bagi', 'kelompok', 'rentan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11]"
1565,"['Kolaborasi', 'dengan', 'mitra', 'besar', 'dan', 'UMKM', 'ini', 'diharapkan', 'mampu', 'meningkatkan', 'transaksi', 'digital', 'di', 'sektor', 'tersebut']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
169,"['Di', 'sisi', 'lain', 'belanja', 'pemerintah', 'pada', 'periode', 'ini', 'diperkirakan', 'tumbuh', '4,13', '%', 'secara', 'secara', 'tahunan']","[0, 0, 0, 0, 11, 0, 0, 0, 0, 12, 0, 0, 0, 0, 22]"
737,"['FIKA', 'NURUL', 'ULYA', 'Wakil', 'Ketua', 'Dewan', 'Ekonomi', 'Nasional', 'DEN', 'Mari', 'Elka', 'Pangestu', 'di', 'Istana', 'Kepresidenan', 'Jakarta', 'Selasa', '5/11/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
2477,"['Menteri', 'Koordinator', 'Bidang', 'Pemberdayaan', 'Masyarakat', 'RI', 'Muhaimin', 'Iskandar', 'mengatakan', 'mayoritas', 'korban', 'judi', 'online', 'judol', 'merupakan', 'masyarakat', 'ekonomi', 'menengah', 'ke', 'bawah']","[11, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
2523,"['Gencarkan', 'Digitalisasi', 'Bank', 'Mandiri', 'Sabet', 'Gelar', 'The', 'Strongest', 'Bank', 'in', 'Indonesia', '2024']","[0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 9]"
