,sentence,pos_tag,iob_ner
660,"Pada penutupan bursa kemarin, IHSG ditutup menguat ke level 7.491, atau tumbuh 12,43 poin setara 0,17 %.","[('Pada', np.str_('IN')), ('penutupan', np.str_('NN')), ('bursa', np.str_('NN')), ('kemarin', np.str_('NN')), (',', 'SYM'), ('IHSG', np.str_('NNP')), ('ditutup', np.str_('VB')), ('menguat', np.str_('VB')), ('ke', np.str_('IN')), ('level', np.str_('NN')), ('7.491', np.str_('NUM')), (',', 'SYM'), ('atau', np.str_('CC')), ('tumbuh', np.str_('VB')), ('12,43', np.str_('NUM')), ('poin', np.str_('NN')), ('setara', np.str_('NN')), ('0,17', np.str_('NUM')), ('%', np.str_('NUM')), ('.', 'SYM')]","[('Pada', 'O'), ('penutupan', 'O'), ('bursa', 'O'), ('kemarin', 'O'), ('IHSG', 'O'), ('ditutup', 'O'), ('menguat', 'O'), ('ke', 'O'), ('level', 'O'), ('7.491', 'O'), ('atau', 'O'), ('tumbuh', 'B-ECONOMIC_INDICATOR'), ('12,43', 'O'), ('poin', 'O'), ('setara', 'O'), ('0,17', 'O'), ('%', 'O')]"
661,"Direktur Research and Investment Pilarmas Investindo Sekuritas Maximilianus Nico Demus mengatakan, di tengah pemilihan presiden Amerika Serikat (AS) saat ini, Purchasing Managers Index (PMI) Composite menurun dari sebelumnya 54,3 menjadi 54,1.","[('Direktur', np.str_('NN')), ('Research', np.str_('NNP')), ('and', np.str_('NNP')), ('Investment', np.str_('NNP')), ('Pilarmas', np.str_('NNP')), ('Investindo', np.str_('NNP')), ('Sekuritas', np.str_('NNP')), ('Maximilianus', np.str_('NNP')), ('Nico', np.str_('NNP')), ('Demus', np.str_('NNP')), ('mengatakan', np.str_('VB')), (',', 'SYM'), ('di', np.str_('IN')), ('tengah', np.str_('NN')), ('pemilihan', np.str_('NN')), ('presiden', np.str_('NN')), ('Amerika', np.str_('NNP')), ('Serikat', np.str_('NNP')), ('(', 'SYM'), ('AS', np.str_('NNP')), (')', 'SYM'), ('saat', np.str_('SC')), ('ini', np.str_('PR')), (',', 'SYM'), ('Purchasing', np.str_('NNP')), ('Managers', np.str_('NNP')), ('Index', np.str_('NNP')), ('(', 'SYM'), ('PMI', np.str_('NNP')), (')', 'SYM'), ('Composite', np.str_('NNP')), ('menurun', np.str_('VB')), ('dari', np.str_('IN')), ('sebelumnya', np.str_('ADV')), ('54,3', np.str_('NUM')), ('menjadi', np.str_('VB')), ('54,1', np.str_('NUM')), ('.', 'SYM')]","[('Direktur', 'O'), ('Research', 'O'), ('and', 'O'), ('Investment', 'O'), ('Pilarmas', 'O'), ('Investindo', 'O'), ('Sekuritas', 'O'), ('Maximilianus', 'O'), ('Nico', 'O'), ('Demus', 'O'), ('mengatakan', 'O'), ('di', 'O'), ('tengah', 'O'), ('pemilihan', 'O'), ('presiden', 'O'), ('Amerika', 'O'), ('Serikat', 'O'), ('AS', 'O'), ('saat', 'O'), ('ini', 'O'), ('Purchasing', 'O'), ('Managers', 'O'), ('Index', 'O'), ('PMI', 'O'), ('Composite', 'O'), ('menurun', 'O'), ('dari', 'O'), ('sebelumnya', 'O'), ('54,3', 'O'), ('menjadi', 'O'), ('54,1', 'O')]"
662,"SHUTTERSTOCK/JIRAPONG MANUSTRONG Ilustrasi saham, pasar saham, transaksi saham.","[('SHUTTERSTOCK', np.str_('NNP')), ('/', 'SYM'), ('JIRAPONG', np.str_('NNP')), ('MANUSTRONG', np.str_('NNP')), ('Ilustrasi', np.str_('NNP')), ('saham', np.str_('NN')), (',', 'SYM'), ('pasar', np.str_('NN')), ('saham', np.str_('NN')), (',', 'SYM'), ('transaksi', np.str_('NN')), ('saham', np.str_('NN')), ('.', 'SYM')]","[('SHUTTERSTOCK', 'O'), ('JIRAPONG', 'O'), ('MANUSTRONG', 'O'), ('Ilustrasi', 'O'), ('saham', 'B-ASSET_CLASS'), ('pasar', 'I-ASSET_CLASS'), ('saham', 'B-ASSET_CLASS'), ('transaksi', 'I-ASSET_CLASS'), ('saham', 'B-ASSET_CLASS')]"
663,"Sementara, PMI Services juga mengalami penurunan dari sebelumnya 55,3 menjadi 55.","[('Sementara', np.str_('IN')), (',', 'SYM'), ('PMI', np.str_('NNP')), ('Services', np.str_('NNP')), ('juga', np.str_('ADV')), ('mengalami', np.str_('VB')), ('penurunan', np.str_('NN')), ('dari', np.str_('IN')), ('sebelumnya', np.str_('ADV')), ('55,3', np.str_('NUM')), ('menjadi', np.str_('VB')), ('55', np.str_('NUM')), ('.', 'SYM')]","[('Sementara', 'O'), ('PMI', 'O'), ('Services', 'O'), ('juga', 'O'), ('mengalami', 'O'), ('penurunan', 'B-ECONOMIC_INDICATOR'), ('dari', 'O'), ('sebelumnya', 'O'), ('55,3', 'O'), ('menjadi', 'O'), ('55', 'B-CRD')]"
664,"Meskipun penurunan terjadi, tetapi hal itu masih dapat diterima oleh pelaku pasar dan investor.","[('Meskipun', np.str_('SC')), ('penurunan', np.str_('NN')), ('terjadi', np.str_('VB')), (',', 'SYM'), ('tetapi', np.str_('CC')), ('hal', np.str_('NN')), ('itu', np.str_('DT')), ('masih', np.str_('ADV')), ('dapat', np.str_('ADV')), ('diterima', np.str_('VB')), ('oleh', np.str_('IN')), ('pelaku', np.str_('NN')), ('pasar', np.str_('NN')), ('dan', np.str_('CC')), ('investor', np.str_('NN')), ('.', 'SYM')]","[('Meskipun', 'O'), ('penurunan', 'B-ECONOMIC_INDICATOR'), ('terjadi', 'O'), ('tetapi', 'O'), ('hal', 'O'), ('itu', 'O'), ('masih', 'O'), ('dapat', 'O'), ('diterima', 'O'), ('oleh', 'O'), ('pelaku', 'O'), ('pasar', 'O'), ('dan', 'O'), ('investor', 'O')]"
665,"Dari dalam negeri, Badan Pusat Statistik (BPS) melaporkan pertumbuhan ekonomi Indonesia kuartal III-2024 mencapai 4,95 % secara tahunan atau year on year (secara tahunan).","[('Dari', np.str_('IN')), ('dalam', np.str_('NN')), ('negeri', np.str_('NN')), (',', 'SYM'), ('Badan', np.str_('NNP')), ('Pusat', np.str_('NNP')), ('Statistik', np.str_('NNP')), ('(', 'SYM'), ('BPS', np.str_('NNP')), (')', 'SYM'), ('melaporkan', np.str_('VB')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('kuartal', np.str_('NN')), ('III-2024', np.str_('NNP')), ('mencapai', np.str_('VB')), ('4,95', np.str_('NUM')), ('%', np.str_('NUM')), ('secara', np.str_('IN')), ('tahunan', np.str_('NN')), ('atau', np.str_('CC')), ('year', np.str_('FW')), ('on', np.str_('FW')), ('year', np.str_('FW')), ('(', 'SYM'), ('secara', np.str_('IN')), ('tahunan', np.str_('NN')), (')', 'SYM'), ('.', 'SYM')]","[('Dari', 'O'), ('dalam', 'O'), ('negeri', 'O'), ('Badan', 'O'), ('Pusat', 'O'), ('Statistik', 'O'), ('BPS', 'O'), ('melaporkan', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('Indonesia', 'B-GPE'), ('kuartal', 'O'), ('III-2024', 'O'), ('mencapai', 'O'), ('4,95', 'O'), ('%', 'O'), ('secara', 'O'), ('tahunan', 'O'), ('atau', 'O'), ('year', 'O'), ('on', 'O'), ('year', 'O'), ('secara', 'O'), ('tahunan', 'O')]"
666,"Pertumbuhan ini melambat bila dibandingkan kuartal sebelumnya yang mencapai 5,05 % secara tahunan.","[('Pertumbuhan', np.str_('NN')), ('ini', np.str_('DT')), ('melambat', np.str_('VB')), ('bila', np.str_('SC')), ('dibandingkan', np.str_('VB')), ('kuartal', np.str_('NN')), ('sebelumnya', np.str_('JJ')), ('yang', np.str_('PR')), ('mencapai', np.str_('VB')), ('5,05', np.str_('NUM')), ('%', np.str_('NUM')), ('secara', np.str_('IN')), ('tahunan', np.str_('NN')), ('.', 'SYM')]","[('Pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ini', 'O'), ('melambat', 'O'), ('bila', 'O'), ('dibandingkan', 'O'), ('kuartal', 'O'), ('sebelumnya', 'O'), ('yang', 'O'), ('mencapai', 'O'), ('5,05', 'O'), ('%', 'O'), ('secara', 'O'), ('tahunan', 'O')]"
667,"""Berdasarkan analisa teknikal, kami melihat IHSG berpotensi menguat terbatas dengan support dan resistance di level 7.410 sampai 7.560,"" kata dia dalam analisisnya, Rabu (6/11/2024).","[('""', 'SYM'), ('Berdasarkan', np.str_('VB')), ('analisa', np.str_('NN')), ('teknikal', np.str_('NN')), (',', 'SYM'), ('kami', np.str_('PR')), ('melihat', np.str_('VB')), ('IHSG', np.str_('NNP')), ('berpotensi', np.str_('VB')), ('menguat', np.str_('VB')), ('terbatas', np.str_('JJ')), ('dengan', np.str_('IN')), ('support', np.str_('FW')), ('dan', np.str_('CC')), ('resistance', np.str_('FW')), ('di', np.str_('IN')), ('level', np.str_('NN')), ('7.410', np.str_('NUM')), ('sampai', np.str_('IN')), ('7.560', np.str_('NUM')), (',', 'SYM'), ('""', 'SYM'), ('kata', np.str_('NN')), ('dia', np.str_('PR')), ('dalam', np.str_('IN')), ('analisis', np.str_('NN')), ('nya', np.str_('PR')), (',', 'SYM'), ('Rabu', np.str_('NNP')), ('(', 'SYM'), ('6/11/2024', np.str_('NUM')), (')', 'SYM'), ('.', 'SYM')]","[('Berdasarkan', 'O'), ('analisa', 'O'), ('teknikal', 'O'), ('kami', 'O'), ('melihat', 'O'), ('IHSG', 'O'), ('berpotensi', 'O'), ('menguat', 'O'), ('terbatas', 'O'), ('dengan', 'O'), ('support', 'O'), ('dan', 'O'), ('resistance', 'O'), ('di', 'O'), ('level', 'O'), ('7.410', 'O'), ('sampai', 'O'), ('7.560', 'O'), ('kata', 'O'), ('dia', 'O'), ('dalam', 'O'), ('analisis', 'O'), ('nya', 'O'), ('Rabu', 'O'), ('6/11/2024', 'O')]"
668,"Sementara itu, analis Binaartha Sekuritas Ivan Rosanova menjelaskan, IHSG dapat melanjutkan rebound jangka pendeknya menuju 7.617 apabila menembus di atas level 7.529, yang merupakan resisten terdekat.","[('Sementara', np.str_('IN')), ('itu', np.str_('PR')), (',', 'SYM'), ('analis', np.str_('NN')), ('Binaartha', np.str_('NNP')), ('Sekuritas', np.str_('NNP')), ('Ivan', np.str_('NNP')), ('Rosanova', np.str_('NNP')), ('menjelaskan', np.str_('VB')), (',', 'SYM'), ('IHSG', np.str_('NNP')), ('dapat', np.str_('ADV')), ('melanjutkan', np.str_('VB')), ('rebound', np.str_('NN')), ('jangka', np.str_('NN')), ('pendek', np.str_('JJ')), ('nya', np.str_('PR')), ('menuju', np.str_('VB')), ('7.617', np.str_('NUM')), ('apabila', np.str_('SC')), ('menembus', np.str_('VB')), ('di', np.str_('IN')), ('atas', np.str_('NN')), ('level', np.str_('NN')), ('7.529', np.str_('NUM')), (',', 'SYM'), ('yang', np.str_('PR')), ('merupakan', np.str_('VB')), ('resisten', np.str_('NN')), ('terdekat', np.str_('JJ')), ('.', 'SYM')]","[('Sementara', 'O'), ('itu', 'O'), ('analis', 'O'), ('Binaartha', 'O'), ('Sekuritas', 'O'), ('Ivan', 'B-PER'), ('Rosanova', 'O'), ('menjelaskan', 'O'), ('IHSG', 'O'), ('dapat', 'O'), ('melanjutkan', 'O'), ('rebound', 'O'), ('jangka', 'O'), ('pendek', 'O'), ('nya', 'O'), ('menuju', 'O'), ('7.617', 'O'), ('apabila', 'O'), ('menembus', 'O'), ('di', 'O'), ('atas', 'O'), ('level', 'O'), ('7.529', 'O'), ('yang', 'O'), ('merupakan', 'O'), ('resisten', 'O'), ('terdekat', 'O')]"
669,"Namun demikian, penurunan di bawah 7.412 akan membuka jalan untuk melanjutkan koreksi wave (iv) menuju 7.345 sebagai support klaster Fibonacci.","[('Namun', np.str_('CC')), ('demikian', np.str_('PR')), (',', 'SYM'), ('penurunan', np.str_('NN')), ('di', np.str_('IN')), ('bawah', np.str_('NN')), ('7.412', np.str_('NUM')), ('akan', np.str_('ADV')), ('membuka', np.str_('VB')), ('jalan', np.str_('NN')), ('untuk', np.str_('SC')), ('melanjutkan', np.str_('VB')), ('koreksi', np.str_('NN')), ('wave', np.str_('FW')), ('(', 'SYM'), ('iv', np.str_('NN')), (')', 'SYM'), ('menuju', np.str_('VB')), ('7.345', np.str_('NUM')), ('sebagai', np.str_('IN')), ('support', np.str_('FW')), ('klaster', np.str_('NN')), ('Fibonacci', np.str_('NNP')), ('.', 'SYM')]","[('Namun', 'O'), ('demikian', 'O'), ('penurunan', 'B-ECONOMIC_INDICATOR'), ('di', 'O'), ('bawah', 'O'), ('7.412', 'O'), ('akan', 'O'), ('membuka', 'O'), ('jalan', 'O'), ('untuk', 'O'), ('melanjutkan', 'O'), ('koreksi', 'O'), ('wave', 'O'), ('iv', 'O'), ('menuju', 'O'), ('7.345', 'O'), ('sebagai', 'O'), ('support', 'O'), ('klaster', 'O'), ('Fibonacci', 'O')]"
670,"""Level support IHSG berada di 7.412, 7.345, dan 7.278, sementara level resistennya di 7.529, 7.617, 7.666, dan 7.752.","[('""', 'SYM'), ('Level', np.str_('NNP')), ('support', np.str_('FW')), ('IHSG', np.str_('NNP')), ('berada', np.str_('VB')), ('di', np.str_('IN')), ('7.412', np.str_('NUM')), (',', 'SYM'), ('7.345', np.str_('NUM')), (',', 'SYM'), ('dan', np.str_('CC')), ('7.278', np.str_('NUM')), (',', 'SYM'), ('sementara', np.str_('CC')), ('level', np.str_('FW')), ('resistennya', np.str_('NN')), ('di', np.str_('IN')), ('7.529', np.str_('NUM')), (',', 'SYM'), ('7.617', np.str_('NUM')), (',', 'SYM'), ('7.666', np.str_('NUM')), (',', 'SYM'), ('dan', np.str_('CC')), ('7.752', np.str_('NUM')), ('.', 'SYM')]","[('Level', 'O'), ('support', 'O'), ('IHSG', 'O'), ('berada', 'O'), ('di', 'O'), ('7.412', 'O'), ('7.345', 'O'), ('dan', 'O'), ('7.278', 'O'), ('sementara', 'O'), ('level', 'O'), ('resistennya', 'O'), ('di', 'O'), ('7.529', 'O'), ('7.617', 'O'), ('7.666', 'O'), ('dan', 'O'), ('7.752', 'O')]"
671,"Berdasarkan indikator, MACD menandakan momentum bearish,"" terang dia.","[('Berdasarkan', np.str_('VB')), ('indikator', np.str_('NN')), (',', 'SYM'), ('MACD', np.str_('NNP')), ('menandakan', np.str_('VB')), ('momentum', np.str_('NN')), ('bearish', np.str_('VB')), (',', 'SYM'), ('""', 'SYM'), ('terang', np.str_('JJ')), ('dia', np.str_('PR')), ('.', 'SYM')]","[('Berdasarkan', 'O'), ('indikator', 'O'), ('MACD', 'O'), ('menandakan', 'O'), ('momentum', 'O'), ('bearish', 'O'), ('terang', 'O'), ('dia', 'O')]"
672,Standardisasi Jadi Pilar Transformasi Ekonomi Berkelanjutan Menuju Indonesia Emas 2045,"[('Standardisasi', np.str_('NN')), ('Jadi', np.str_('JJ')), ('Pilar', np.str_('NNP')), ('Transformasi', np.str_('NNP')), ('Ekonomi', np.str_('NNP')), ('Berkelanjutan', np.str_('NNP')), ('Menuju', np.str_('NNP')), ('Indonesia', np.str_('NNP')), ('Emas', np.str_('NNP')), ('2045', np.str_('NUM'))]","[('Standardisasi', 'O'), ('Jadi', 'O'), ('Pilar', 'O'), ('Transformasi', 'O'), ('Ekonomi', 'O'), ('Berkelanjutan', 'O'), ('Menuju', 'O'), ('Indonesia', 'B-GPE'), ('Emas', 'B-ASSET_CLASS'), ('2045', 'O')]"
673,"Dalam upaya mencapai visi Indonesia Emas 2045 dan target pertumbuhan ekonomi sebesar 8 %, pemerintah terus mendorong penerapan pembangunan berkelanjutan yang terintegrasi dengan standardisasi.","[('Dalam', np.str_('IN')), ('upaya', np.str_('NN')), ('mencapai', np.str_('VB')), ('visi', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('Emas', np.str_('NNP')), ('2045', np.str_('NUM')), ('dan', np.str_('CC')), ('target', np.str_('NN')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('sebesar', np.str_('NN')), ('8', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('pemerintah', np.str_('NN')), ('terus', np.str_('ADV')), ('mendorong', np.str_('VB')), ('penerapan', np.str_('NN')), ('pembangunan', np.str_('NN')), ('berkelanjutan', np.str_('VB')), ('yang', np.str_('PR')), ('terintegrasi', np.str_('VB')), ('dengan', np.str_('IN')), ('standardisasi', np.str_('NN')), ('.', 'SYM')]","[('Dalam', 'O'), ('upaya', 'O'), ('mencapai', 'O'), ('visi', 'O'), ('Indonesia', 'B-GPE'), ('Emas', 'B-ASSET_CLASS'), ('2045', 'O'), ('dan', 'O'), ('target', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('sebesar', 'O'), ('8', 'O'), ('%', 'O'), ('pemerintah', 'O'), ('terus', 'O'), ('mendorong', 'O'), ('penerapan', 'O'), ('pembangunan', 'O'), ('berkelanjutan', 'O'), ('yang', 'O'), ('terintegrasi', 'O'), ('dengan', 'O'), ('standardisasi', 'O')]"
674,"Badan Standardisasi Nasional (BSN) menegaskan pentingnya standar mutu dalam mendukung transformasi ekonomi menuju keberlanjutan, sesuai dengan Rencana Pembangunan Jangka Panjang Nasional (RPJPN) 2025-2045.","[('Badan', np.str_('NNP')), ('Standardisasi', np.str_('NNP')), ('Nasional', np.str_('NNP')), ('(', 'SYM'), ('BSN', np.str_('NNP')), (')', 'SYM'), ('menegaskan', np.str_('VB')), ('penting', np.str_('JJ')), ('nya', np.str_('DT')), ('standar', np.str_('NN')), ('mutu', np.str_('NN')), ('dalam', np.str_('IN')), ('mendukung', np.str_('VB')), ('transformasi', np.str_('NN')), ('ekonomi', np.str_('NN')), ('menuju', np.str_('VB')), ('keberlanjutan', np.str_('NN')), (',', 'SYM'), ('sesuai', np.str_('JJ')), ('dengan', np.str_('IN')), ('Rencana', np.str_('NNP')), ('Pembangunan', np.str_('NNP')), ('Jangka', np.str_('NNP')), ('Panjang', np.str_('JJ')), ('Nasional', np.str_('NNP')), ('(', 'SYM'), ('RPJPN', np.str_('NNP')), (')', 'SYM'), ('2025-2045', np.str_('NUM')), ('.', 'SYM')]","[('Badan', 'O'), ('Standardisasi', 'O'), ('Nasional', 'O'), ('BSN', 'O'), ('menegaskan', 'O'), ('penting', 'O'), ('nya', 'O'), ('standar', 'O'), ('mutu', 'O'), ('dalam', 'O'), ('mendukung', 'O'), ('transformasi', 'O'), ('ekonomi', 'O'), ('menuju', 'O'), ('keberlanjutan', 'O'), ('sesuai', 'O'), ('dengan', 'O'), ('Rencana', 'O'), ('Pembangunan', 'O'), ('Jangka', 'O'), ('Panjang', 'O'), ('Nasional', 'O'), ('RPJPN', 'O'), ('2025-2045', 'O')]"
675,"Kepala BSN, Kukuh S.","[('Kepala', np.str_('NN')), ('BSN', np.str_('NNP')), (',', 'SYM'), ('Kukuh', np.str_('NNP')), ('S', np.str_('NNP')), ('.', 'SYM')]","[('Kepala', 'O'), ('BSN', 'O'), ('Kukuh', 'O'), ('S', 'O')]"
676,"Achmad, saat membuka Bulan Mutu Nasional (BMN) 2024 dan Indonesia Standard and Conformity Assessment Summit di Jakarta, Rabu (20/11/2024), mengatakan bahwa proses transformasi ekonomi Indonesia menuju ekonomi hijau harus menyeimbangkan aspek ekonomi, sosial, dan lingkungan.","[('Achmad', np.str_('NNP')), (',', 'SYM'), ('saat', np.str_('SC')), ('membuka', np.str_('VB')), ('Bulan', np.str_('NNP')), ('Mutu', np.str_('NNP')), ('Nasional', np.str_('NNP')), ('(', 'SYM'), ('BMN', np.str_('NNP')), (')', 'SYM'), ('2024', np.str_('NUM')), ('dan', np.str_('CC')), ('Indonesia', np.str_('NNP')), ('Standard', np.str_('NNP')), ('and', np.str_('NNP')), ('Conformity', np.str_('NNP')), ('Assessment', np.str_('NNP')), ('Summit', np.str_('NNP')), ('di', np.str_('IN')), ('Jakarta', np.str_('NNP')), (',', 'SYM'), ('Rabu', np.str_('NNP')), ('(', 'SYM'), ('20/11/2024', np.str_('NUM')), (')', 'SYM'), (',', 'SYM'), ('mengatakan', np.str_('VB')), ('bahwa', np.str_('SC')), ('proses', np.str_('NN')), ('transformasi', np.str_('NN')), ('ekonomi', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('menuju', np.str_('VB')), ('ekonomi', np.str_('NN')), ('hijau', np.str_('JJ')), ('harus', np.str_('ADV')), ('menyeimbangkan', np.str_('VB')), ('aspek', np.str_('NN')), ('ekonomi', np.str_('NN')), (',', 'SYM'), ('sosial', np.str_('JJ')), (',', 'SYM'), ('dan', np.str_('CC')), ('lingkungan', np.str_('NN')), ('.', 'SYM')]","[('Achmad', 'B-PER'), ('saat', 'O'), ('membuka', 'O'), ('Bulan', 'O'), ('Mutu', 'O'), ('Nasional', 'O'), ('BMN', 'O'), ('2024', 'O'), ('dan', 'O'), ('Indonesia', 'O'), ('Standard', 'O'), ('and', 'O'), ('Conformity', 'O'), ('Assessment', 'O'), ('Summit', 'O'), ('di', 'O'), ('Jakarta', 'O'), ('Rabu', 'O'), ('20/11/2024', 'O'), ('mengatakan', 'O'), ('bahwa', 'O'), ('proses', 'O'), ('transformasi', 'O'), ('ekonomi', 'O'), ('Indonesia', 'O'), ('menuju', 'O'), ('ekonomi', 'O'), ('hijau', 'O'), ('harus', 'O'), ('menyeimbangkan', 'O'), ('aspek', 'O'), ('ekonomi', 'O'), ('sosial', 'O'), ('dan', 'O'), ('lingkungan', 'O')]"
677,"""Hal ini sejalan dengan Sustainable Development Goals (SDGs), Paris Agreement, serta target Net Zero Emissions (NZE) pada 2060,” ujarnya melalui keterangan pers, Rabu (20/11/2024).","[('""', 'SYM'), ('Hal', np.str_('NN')), ('ini', np.str_('DT')), ('sejalan', np.str_('JJ')), ('dengan', np.str_('IN')), ('Sustainable', np.str_('NNP')), ('Development', np.str_('NNP')), ('Goals', np.str_('NNP')), ('(', 'SYM'), ('SDGs', np.str_('NNP')), (')', 'SYM'), (',', 'SYM'), ('Paris', np.str_('NNP')), ('Agreement', np.str_('NNP')), (',', 'SYM'), ('serta', np.str_('CC')), ('target', np.str_('NN')), ('Net', np.str_('NNP')), ('Zero', np.str_('NNP')), ('Emissions', np.str_('NNP')), ('(', 'SYM'), ('NZE', np.str_('NNP')), (')', 'SYM'), ('pada', np.str_('IN')), ('2060', np.str_('NUM')), (',', 'SYM'), ('""', 'SYM'), ('ujar', np.str_('VB')), ('nya', np.str_('PR')), ('melalui', np.str_('IN')), ('keterangan', np.str_('NN')), ('pers', np.str_('NN')), (',', 'SYM'), ('Rabu', np.str_('NNP')), ('(', 'SYM'), ('20/11/2024', np.str_('NUM')), (')', 'SYM'), ('.', 'SYM')]","[('Hal', 'O'), ('ini', 'O'), ('sejalan', 'O'), ('dengan', 'O'), ('Sustainable', 'O'), ('Development', 'O'), ('Goals', 'O'), ('SDGs', 'O'), ('Paris', 'O'), ('Agreement', 'O'), ('serta', 'O'), ('target', 'O'), ('Net', 'O'), ('Zero', 'O'), ('Emissions', 'O'), ('NZE', 'O'), ('pada', 'O'), ('2060', 'O'), ('ujar', 'O'), ('nya', 'O'), ('melalui', 'O'), ('keterangan', 'O'), ('pers', 'O'), ('Rabu', 'O'), ('20/11/2024', 'O')]"
678,"Kukuh menambahkan, tema “Standardisasi untuk Pertumbuhan Ekonomi yang Berkelanjutan” dipilih untuk menggambarkan peran penting standardisasi dalam mendorong kualitas, efisiensi, dan daya saing produk Indonesia di pasar global.","[('Kukuh', np.str_('NNP')), ('menambahkan', np.str_('VB')), (',', 'SYM'), ('tema', np.str_('NN')), ('""', 'SYM'), ('Standardisasi', np.str_('NNP')), ('untuk', np.str_('IN')), ('Pertumbuhan', np.str_('NNP')), ('Ekonomi', np.str_('NNP')), ('yang', np.str_('PR')), ('Berkelanjutan', np.str_('NNP')), ('""', 'SYM'), ('dipilih', np.str_('VB')), ('untuk', np.str_('SC')), ('menggambarkan', np.str_('VB')), ('peran', np.str_('NN')), ('penting', np.str_('JJ')), ('standardisasi', np.str_('NN')), ('dalam', np.str_('IN')), ('mendorong', np.str_('VB')), ('kualitas', np.str_('NN')), (',', 'SYM'), ('efisiensi', np.str_('NN')), (',', 'SYM'), ('dan', np.str_('CC')), ('daya', np.str_('NN')), ('saing', np.str_('VB')), ('produk', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('di', np.str_('IN')), ('pasar', np.str_('NN')), ('global', np.str_('JJ')), ('.', 'SYM')]","[('Kukuh', 'O'), ('menambahkan', 'O'), ('tema', 'O'), ('Standardisasi', 'O'), ('untuk', 'O'), ('Pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('Ekonomi', 'I-ECONOMIC_INDICATOR'), ('yang', 'O'), ('Berkelanjutan', 'O'), ('dipilih', 'O'), ('untuk', 'O'), ('menggambarkan', 'O'), ('peran', 'O'), ('penting', 'O'), ('standardisasi', 'O'), ('dalam', 'O'), ('mendorong', 'O'), ('kualitas', 'O'), ('efisiensi', 'O'), ('dan', 'O'), ('daya', 'O'), ('saing', 'O'), ('produk', 'O'), ('Indonesia', 'B-GPE'), ('di', 'O'), ('pasar', 'O'), ('global', 'O')]"
679,"“Melalui penerapan standar, kita dapat memastikan pertumbuhan ekonomi tidak hanya jangka pendek tetapi juga berkelanjutan,” katanya.","[('""', 'SYM'), ('Melalui', np.str_('IN')), ('penerapan', np.str_('NN')), ('standar', np.str_('NN')), (',', 'SYM'), ('kita', np.str_('PR')), ('dapat', np.str_('ADV')), ('memastikan', np.str_('VB')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('tidak', np.str_('NEG')), ('hanya', np.str_('ADV')), ('jangka', np.str_('NN')), ('pendek', np.str_('JJ')), ('tetapi', np.str_('CC')), ('juga', np.str_('ADV')), ('berkelanjutan', np.str_('VB')), (',', 'SYM'), ('""', 'SYM'), ('kata', np.str_('VB')), ('nya', np.str_('PR')), ('.', 'SYM')]","[('Melalui', 'O'), ('penerapan', 'O'), ('standar', 'O'), ('kita', 'O'), ('dapat', 'O'), ('memastikan', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('tidak', 'O'), ('hanya', 'O'), ('jangka', 'O'), ('pendek', 'O'), ('tetapi', 'O'), ('juga', 'O'), ('berkelanjutan', 'O'), ('kata', 'O'), ('nya', 'O')]"
680,"Sebagai langkah nyata, pemerintah telah menetapkan lima strategi utama untuk mendukung target NZE.","[('Sebagai', np.str_('IN')), ('langkah', np.str_('NN')), ('nyata', np.str_('JJ')), (',', 'SYM'), ('pemerintah', np.str_('NN')), ('telah', np.str_('ADV')), ('menetapkan', np.str_('VB')), ('lima', np.str_('NUM')), ('strategi', np.str_('NN')), ('utama', np.str_('JJ')), ('untuk', np.str_('SC')), ('mendukung', np.str_('VB')), ('target', np.str_('NN')), ('NZE', np.str_('NNP')), ('.', 'SYM')]","[('Sebagai', 'O'), ('langkah', 'O'), ('nyata', 'O'), ('pemerintah', 'B-NOR'), ('telah', 'O'), ('menetapkan', 'O'), ('lima', 'B-CRD'), ('strategi', 'O'), ('utama', 'O'), ('untuk', 'O'), ('mendukung', 'O'), ('target', 'O'), ('NZE', 'O')]"
